Airspace_Type,Polygon_ID,Vertex_Index,X,Y,Area,Perimeter
restricted_airspace,1,1,1471,2257,1496.0,428.617311835289
restricted_airspace,1,2,1469,2272,1496.0,428.617311835289
restricted_airspace,1,3,1479,2262,1496.0,428.617311835289
restricted_airspace,1,4,1484,2268,1496.0,428.617311835289
restricted_airspace,1,5,1468,2282,1496.0,428.617311835289
restricted_airspace,1,6,1574,2321,1496.0,428.617311835289
restricted_airspace,1,7,1559,2304,1496.0,428.617311835289
restricted_airspace,1,8,1552,2308,1496.0,428.617311835289
restricted_airspace,1,9,1516,2296,1496.0,428.617311835289
restricted_airspace,1,10,1523,2274,1496.0,428.617311835289
restricted_airspace,1,11,1514,2269,1496.0,428.617311835289
restricted_airspace,1,12,1505,2289,1496.0,428.617311835289
restricted_airspace,1,13,1497,2289,1496.0,428.617311835289
restricted_airspace,1,14,1502,2266,1496.0,428.617311835289
restricted_airspace,2,1,2536,2216,1620.5,306.4924213886261
restricted_airspace,2,2,2525,2212,1620.5,306.4924213886261
restricted_airspace,2,3,2522,2204,1620.5,306.4924213886261
restricted_airspace,2,4,2510,2205,1620.5,306.4924213886261
restricted_airspace,2,5,2511,2191,1620.5,306.4924213886261
restricted_airspace,2,6,2507,2187,1620.5,306.4924213886261
restricted_airspace,2,7,2480,2191,1620.5,306.4924213886261
restricted_airspace,2,8,2478,2205,1620.5,306.4924213886261
restricted_airspace,2,9,2474,2202,1620.5,306.4924213886261
restricted_airspace,2,10,2478,2191,1620.5,306.4924213886261
restricted_airspace,2,11,2471,2189,1620.5,306.4924213886261
restricted_airspace,2,12,2459,2206,1620.5,306.4924213886261
restricted_airspace,2,13,2490,2210,1620.5,306.4924213886261
restricted_airspace,2,14,2483,2226,1620.5,306.4924213886261
restricted_airspace,2,15,2499,2229,1620.5,306.4924213886261
restricted_airspace,2,16,2513,2227,1620.5,306.4924213886261
restricted_airspace,2,17,2519,2221,1620.5,306.4924213886261
restricted_airspace,2,18,2531,2228,1620.5,306.4924213886261
restricted_airspace,2,19,2529,2218,1620.5,306.4924213886261
restricted_airspace,3,1,1013,2136,1003.0,458.70057225227356
restricted_airspace,3,2,1003,2129,1003.0,458.70057225227356
restricted_airspace,3,3,972,2129,1003.0,458.70057225227356
restricted_airspace,3,4,979,2117,1003.0,458.70057225227356
restricted_airspace,3,5,965,2119,1003.0,458.70057225227356
restricted_airspace,3,6,969,2125,1003.0,458.70057225227356
restricted_airspace,3,7,963,2129,1003.0,458.70057225227356
restricted_airspace,3,8,880,2122,1003.0,458.70057225227356
restricted_airspace,3,9,846,2126,1003.0,458.70057225227356
restricted_airspace,3,10,855,2132,1003.0,458.70057225227356
restricted_airspace,3,11,891,2128,1003.0,458.70057225227356
restricted_airspace,4,1,1671,2036,1371.0,289.0782079696655
restricted_airspace,4,2,1628,2037,1371.0,289.0782079696655
restricted_airspace,4,3,1625,2053,1371.0,289.0782079696655
restricted_airspace,4,4,1640,2054,1371.0,289.0782079696655
restricted_airspace,4,5,1643,2058,1371.0,289.0782079696655
restricted_airspace,4,6,1629,2059,1371.0,289.0782079696655
restricted_airspace,4,7,1626,2072,1371.0,289.0782079696655
restricted_airspace,4,8,1671,2072,1371.0,289.0782079696655
restricted_airspace,4,9,1672,2059,1371.0,289.0782079696655
restricted_airspace,4,10,1652,2061,1371.0,289.0782079696655
restricted_airspace,4,11,1645,2052,1371.0,289.0782079696655
restricted_airspace,4,12,1648,2048,1371.0,289.0782079696655
restricted_airspace,4,13,1654,2054,1371.0,289.0782079696655
restricted_airspace,4,14,1674,2052,1371.0,289.0782079696655
restricted_airspace,5,1,1853,1961,2694.0,508.2152907848358
restricted_airspace,5,2,1863,1977,2694.0,508.2152907848358
restricted_airspace,5,3,1853,1980,2694.0,508.2152907848358
restricted_airspace,5,4,1851,1998,2694.0,508.2152907848358
restricted_airspace,5,5,1881,2007,2694.0,508.2152907848358
restricted_airspace,5,6,1862,2022,2694.0,508.2152907848358
restricted_airspace,5,7,1884,2034,2694.0,508.2152907848358
restricted_airspace,5,8,1867,2037,2694.0,508.2152907848358
restricted_airspace,5,9,1864,2049,2694.0,508.2152907848358
restricted_airspace,5,10,1895,2048,2694.0,508.2152907848358
restricted_airspace,5,11,1910,2055,2694.0,508.2152907848358
restricted_airspace,5,12,1912,2070,2694.0,508.2152907848358
restricted_airspace,5,13,1927,2073,2694.0,508.2152907848358
restricted_airspace,5,14,1911,2049,2694.0,508.2152907848358
restricted_airspace,5,15,1917,2039,2694.0,508.2152907848358
restricted_airspace,5,16,1909,2037,2694.0,508.2152907848358
restricted_airspace,5,17,1908,2013,2694.0,508.2152907848358
restricted_airspace,5,18,1886,2012,2694.0,508.2152907848358
restricted_airspace,5,19,1889,1987,2694.0,508.2152907848358
restricted_airspace,6,1,1947,1945,1750.0,220.99494755268097
restricted_airspace,6,2,1946,1955,1750.0,220.99494755268097
restricted_airspace,6,3,1941,1960,1750.0,220.99494755268097
restricted_airspace,6,4,1951,1962,1750.0,220.99494755268097
restricted_airspace,6,5,1950,1973,1750.0,220.99494755268097
restricted_airspace,6,6,1947,1975,1750.0,220.99494755268097
restricted_airspace,6,7,1949,1980,1750.0,220.99494755268097
